phase,episode,global_step,snapshot_name,expected_case,local_load,neighbor_load,scenario_local_load,scenario_neighbor_load,local_ue_count,neighbor_ue_count,local_bias,neighbor_bias,mean_raw_action,mean_applied_offset,mean_desired_offset,mean_tracking_error,handover_attempts,handover_successes,handover_failures,handover_ping_pongs,episode_return,expected_case_eMBB,local_load_eMBB,neighbor_load_eMBB,scenario_local_load_eMBB,scenario_neighbor_load_eMBB,local_ue_count_eMBB,neighbor_ue_count_eMBB,local_bias_eMBB,neighbor_bias_eMBB,mean_raw_action_eMBB,mean_applied_offset_eMBB,mean_desired_offset_eMBB,mean_tracking_error_eMBB,expected_case_URLLC,local_load_URLLC,neighbor_load_URLLC,scenario_local_load_URLLC,scenario_neighbor_load_URLLC,local_ue_count_URLLC,neighbor_ue_count_URLLC,local_bias_URLLC,neighbor_bias_URLLC,mean_raw_action_URLLC,mean_applied_offset_URLLC,mean_desired_offset_URLLC,mean_tracking_error_URLLC,expected_case_mMTC,local_load_mMTC,neighbor_load_mMTC,scenario_local_load_mMTC,scenario_neighbor_load_mMTC,local_ue_count_mMTC,neighbor_ue_count_mMTC,local_bias_mMTC,neighbor_bias_mMTC,mean_raw_action_mMTC,mean_applied_offset_mMTC,mean_desired_offset_mMTC,mean_tracking_error_mMTC
train,20,840,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.9794117647058822,0.9661764705882353,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.418845069408417,-5.4,-5.965417919037934,0.565417919037934,2,2,0,0,-12.231991723179817,offload,0.9794117647058822,0.9661764705882353,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.418845069408417,-5.4,-5.965417919037934,0.565417919037934,retain,0.3621212121212122,0.7090909090909091,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,3.504395306110382,3.5,5.6325,-2.1325000000000003,neutral,0.8871212121212121,0.5803030303030303,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-2.098373705148697,-1.85,-0.8,-1.05
train,21,880,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,1.0,0.9867647058823529,0.8823529411764707,0.17647058823529413,1.125,3.875,-1.0,1.0,-5.018491405248642,-5.0,-5.960926250825464,0.9609262508254648,3,3,0,0,-34.4909702539444,offload,1.0,0.9867647058823529,0.8823529411764707,0.17647058823529413,1.125,3.875,-1.0,1.0,-5.018491405248642,-5.0,-5.960926250825464,0.9609262508254648,retain,0.36363636363636365,0.7196969696969696,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,3.496955680847168,3.1,5.60125,-2.50125,neutral,0.9537878787878787,0.3,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-2.3136125802993774,-2.35,-0.8,-1.55
train,22,920,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.05,0.9823529411764707,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-1.4363581538200378,-1.85,-2.9815429214766165,1.1315429214766168,5,5,0,0,-10.837991771288216,offload,0.05,0.9823529411764707,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-1.4363581538200378,-1.85,-2.9815429214766165,1.1315429214766168,retain,0.9545454545454545,0.5477272727272727,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,1.6527312874794007,2.0,5.700000000000001,-3.7,neutral,0.8234848484848486,0.46515151515151515,0.5454545454545454,0.48484848484848486,1.525,2.475,0.0,0.0,-1.6429268836975097,-1.45,-0.7525000000000002,-0.6975
train,23,960,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,1.0,0.8352941176470589,0.8823529411764707,0.17647058823529413,3.075,1.925,-1.0,1.0,-5.487832695245743,-5.4,-5.975573220775407,0.5755732207754062,1,1,0,0,-31.050925076007843,offload,1.0,0.8352941176470589,0.8823529411764707,0.17647058823529413,3.075,1.925,-1.0,1.0,-5.487832695245743,-5.4,-5.975573220775407,0.5755732207754062,retain,0.28939393939393937,1.0,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,3.7885689973831176,3.7,5.555000000000001,-1.8550000000000004,neutral,0.6598484848484848,0.38939393939393946,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.26486926078796386,-0.15,-0.8,0.65
train,24,1000,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.8794117647058822,0.9764705882352942,0.8823529411764707,0.17647058823529413,2.075,2.925,-1.0,1.0,-5.4530965924263,-5.45,-5.967681799893463,0.5176817998934629,3,3,0,0,-34.05484700202942,offload,0.8794117647058822,0.9764705882352942,0.8823529411764707,0.17647058823529413,2.075,2.925,-1.0,1.0,-5.4530965924263,-5.45,-5.967681799893463,0.5176817998934629,retain,0.7416666666666667,0.8568181818181818,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,3.5359640955924987,3.6,5.566250000000001,-1.96625,neutral,0.8825757575757576,0.36818181818181817,0.5454545454545454,0.48484848484848486,1.95,2.05,0.0,0.0,-0.335908567905426,-0.45,-0.795,0.34500000000000003
train,25,1040,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.05,0.9794117647058824,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.0403958737850187,-2.6,-2.8377577656918263,0.23775776569182608,4,4,0,0,-7.147625779733062,offload,0.05,0.9794117647058824,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.0403958737850187,-2.6,-2.8377577656918263,0.23775776569182608,retain,0.3621212121212122,0.5227272727272727,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,2.436260223388672,2.1,5.66125,-3.56125,neutral,0.9924242424242424,0.2787878787878788,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-1.8907552123069764,-1.85,-0.8,-1.05
train,26,1080,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.05,0.9779411764705882,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-1.8782205402851104,-2.5,-2.7998445116371804,0.2998445116371805,4,4,0,0,-4.118307564407587,offload,0.05,0.9779411764705882,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-1.8782205402851104,-2.5,-2.7998445116371804,0.2998445116371805,retain,0.6643939393939394,0.6090909090909091,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,4.1253919959068295,4.3,5.695,-1.3950000000000002,neutral,0.9151515151515153,0.21969696969696967,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-1.6985817313194276,-1.7,-0.8,-0.9
train,27,1120,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.05,0.9426470588235294,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.5812955498695374,-2.55,-3.1642130863158853,0.6142130863158852,4,4,0,0,-3.9001447577029467,offload,0.05,0.9426470588235294,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.5812955498695374,-2.55,-3.1642130863158853,0.6142130863158852,retain,0.9621212121212122,0.531060606060606,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,4.2354424595832825,4.25,5.65625,-1.4062500000000004,neutral,0.9666666666666668,0.5742424242424242,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-1.0041564226150512,-1.05,-0.8,-0.25
train,28,1160,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.9264705882352942,0.9294117647058824,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.523675662279129,-5.35,-5.96782637469425,0.6178263746942507,2,2,0,0,-25.79346990585327,offload,0.9264705882352942,0.9294117647058824,0.8823529411764707,0.17647058823529413,2.1,2.9,-1.0,1.0,-5.523675662279129,-5.35,-5.96782637469425,0.6178263746942507,retain,0.7545454545454546,0.8280303030303031,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,4.933165276050568,4.8,5.633750000000001,-0.8337500000000002,neutral,0.6643939393939394,0.3575757575757576,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-1.331074345111847,-1.35,-0.8,-0.55
train,29,1200,feasible_embb_offload_urllc_retain_mmtc_neutral,offload,0.05,0.9808823529411764,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.4895092844963074,-2.7,-2.15834124317794,-0.5416587568220603,4,4,0,0,-3.108569777570665,offload,0.05,0.9808823529411764,0.044117647058823525,0.17647058823529413,0.175,4.825,0.05,1.0,-2.4895092844963074,-2.7,-2.15834124317794,-0.5416587568220603,retain,0.5984848484848486,0.6166666666666667,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,5.1826414346694945,5.3,5.6137500000000005,-0.3137500000000003,neutral,0.9825757575757577,0.27272727272727276,0.5454545454545454,0.48484848484848486,2.0,2.0,0.0,0.0,-0.5725585758686066,-0.7,-0.8,0.1
