step,budget_prbs,allocated_prbs,used_prbs,allocated_load,demand_prbs,demand_load,queue_bits,queue_pressure,arrived_bits,scheduled_bits,served_bits,served_ratio,service_to_arrival_ratio,tx_success_ratio,ue_count,throughput_bps,delay_s,dropped_bits
75,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1636471.633864358,0.0,0.0
76,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1627742.201187071,0.0,0.0
77,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1631187.3571633294,0.0,0.0
78,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1622563.610020063,0.0,0.0
79,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1614112.3378196615,0.0,0.0
80,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1617830.0910632682,0.0,0.0
81,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1609473.4892420028,0.0,0.0
82,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1601284.0194571628,0.0,0.0
83,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1605258.3390680195,0.0,0.0
84,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1597153.172286659,0.0,0.0
85,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1589210.1088409259,0.0,0.0
86,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1593425.9066641072,0.0,0.0
87,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1585557.388530825,0.0,0.0
88,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1577846.2407602086,0.0,0.0
89,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1582289.315945004,0.0,0.0
90,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1574643.529626104,0.0,0.0
91,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1567150.659033582,0.0,0.0
92,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1571807.6458529104,0.0,0.0
93,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1564371.4929358521,0.0,0.0
94,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1557084.063077135,0.0,0.0
95,50,4,4,0.08,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1.0,1.0,1.0,2,1561942.3818155923,0.0,0.0
96,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,1554703.5341792805,0.0,0.0
97,50,4,4,0.08,1,0.02,600.0,0.04285714285714286,1200.0,1200.0,600.0,0.5,0.5,0.5,2,1535609.4634956946,0.0,0.0
98,50,6,6,0.12,0,0.0,0.0,0.0,1800.0,2400.0,2400.0,1.0,1.3333333333333333,1.0,2,1552897.2742257807,0.0,0.0
99,50,4,4,0.08,1,0.02,600.0,0.04285714285714286,1200.0,1200.0,600.0,0.5,0.5,0.5,2,1533839.328741265,0.0,0.0
